Date,Amundi MSCI Emerging Markets II UCITS ETF Acc
12/1987,10000
01/1988,11099.304957005563
02/1988,11458.792355889002
03/1988,12517.175252119772
04/1988,13106.320953376282
05/1988,13631.545294280542
06/1988,14617.81037510168
07/1988,14963.496140435293
08/1988,14888.466101884413
09/1988,15737.346473742746
10/1988,15248.061519878112
11/1988,14580.574580243023
12/1988,14982.754851230875
01/1989,15379.135333064609
02/1989,16759.917107538382
03/1989,18551.501801709335
04/1989,22193.28405152574
05/1989,23456.56724690207
06/1989,20979.81968881424
07/1989,21382.88490230394
08/1989,22215.711238120803
09/1989,25397.30784277164
10/1989,24781.112940094943
11/1989,23285.354589672297
12/1989,25050.40438247056
01/1990,25114.225380103755
02/1990,25751.345093311273
03/1990,22654.860220006165
04/1990,23976.103256184695
05/1990,25519.67991668203
06/1990,26577.468007079697
07/1990,28045.171096590617
08/1990,23387.627834914914
09/1990,20432.47029694068
10/1990,19463.192163176187
11/1990,18080.487586047002
12/1990,19065.396567804488
01/1991,20655.814690494237
02/1991,23314.989857080043
03/1991,26417.473985878176
04/1991,28115.74590050216
05/1991,30724.15949548197
06/1991,30728.149952447366
07/1991,32359.775015310297
08/1991,32310.875724526428
09/1991,30211.29369351337
10/1991,31399.08030565371
11/1991,29771.924340495352
12/1991,32061.927901715655
01/1992,36021.93689343152
02/1992,38448.77064452436
03/1992,40807.837062633735
04/1992,40154.14089916237
05/1992,39240.67524332858
06/1992,34331.88084376435
07/1992,33050.245999187275
08/1992,30710.762555718673
09/1992,31524.583182731207
10/1992,34588.57300673969
11/1992,36453.51747755696
12/1992,37496.56434374573
01/1993,38409.36901058156
02/1993,40022.017098415294
03/1993,41544.40819938809
04/1993,41048.9219978561
05/1993,42291.870437316735
06/1993,44811.79730534995
07/1993,47941.00022626875
08/1993,52380.71485540425
09/1993,52131.73216889411
10/1993,57469.95596463902
11/1993,61618.202511146694
12/1993,71764.44356209222
01/1994,74052.54381043793
02/1994,72446.76447722035
03/1994,64520.39198396369
04/1994,63405.62827308071
05/1994,64158.87874286892
06/1994,61369.81007247934
07/1994,63169.519785409815
08/1994,71083.88705312306
09/1994,71113.043105228
10/1994,68487.43536265311
11/1994,65883.93732809702
12/1994,61823.92357880474
01/1995,54110.02092009487
02/1995,52138.84734236937
03/1995,50425.18038611797
04/1995,51673.4153490577
05/1995,55257.23435407299
06/1995,54951.830347723284
07/1995,55526.03701860524
08/1995,55853.21203836809
09/1995,56294.782905383974
10/1995,53291.02586709851
11/1995,52447.56319330199
12/1995,55635.04725773385
01/1996,60306.667998674595
02/1996,59681.80865619738
03/1996,60101.31517725864
04/1996,63030.2460459978
05/1996,63502.62708253671
06/1996,63396.21292633297
07/1996,58158.626388457255
08/1996,59099.75967795651
09/1996,60121.51148490945
10/1996,58693.09971942317
11/1996,58903.76970872079
12/1996,60472.92052642901
01/1997,66347.70307584398
02/1997,72195.77552099653
03/1997,71106.93225632752
04/1997,71611.79039573275
05/1997,73427.45158749726
06/1997,78217.60794772548
07/1997,81584.86355847293
08/1997,73224.68290965301
09/1997,73271.3683990052
10/1997,60128.19086132499
11/1997,56734.96859978338
12/1997,59663.19490320123
01/1998,56241.526996609486
02/1998,61968.366216135844
03/1998,64888.61654793522
04/1998,63739.53804607472
05/1998,54159.42828403617
06/1998,48824.05322342465
07/1998,50485.55950977966
08/1998,35735.93751143051
09/1998,36225.75352849963
10/1998,38557.012038264154
11/1998,42967.7075433956
12/1998,42069.843479702955
01/1999,42738.728723999455
02/1999,44582.985383069026
03/1999,51749.85060428206
04/1999,58942.057475526286
05/1999,59382.50118339751
06/1999,66934.48151896878
07/1999,62879.77574766479
08/1999,64170.68796656508
09/1999,61456.70548562974
10/1999,64031.072489145554
11/1999,72224.952440999
12/1999,81815.40405536938
01/2000,84437.00228276128
02/2000,86220.46024604783
03/2000,88091.37592345514
04/2000,83838.40984364918
05/2000,78479.19742570008
06/2000,79083.49760026406
07/2000,77547.35482151895
08/2000,80868.38225794473
09/2000,74985.1667459937
10/2000,72415.24537036433
11/2000,64043.430879527274
12/2000,61204.83413544145
01/2001,69715.51709184347
02/2001,64561.24752241524
03/2001,60954.792586652096
04/2001,63642.47088586757
05/2001,67402.15460098343
06/2001,66010.73779913165
07/2001,59889.365486736184
08/2001,56682.189785241506
09/2001,48043.99897253638
10/2001,51522.193593303644
11/2001,57816.12990664944
12/2001,63000.44246269345
01/2002,66455.33724414434
02/2002,67430.03781181629
03/2002,70880.00678444299
04/2002,69082.60281108934
05/2002,65229.07880703138
06/2002,56771.24048096576
07/2002,53476.228210814625
08/2002,54017.87919557795
09/2002,48051.56605544612
10/2002,51143.16866860177
11/2002,54310.653114197
12/2002,49696.01387989631
01/2003,47968.7779997111
02/2003,46815.69084990074
03/2003,45010.994234603364
04/2003,47975.63854191276
05/2003,48407.86509263774
06/2003,52929.903899342855
07/2003,56780.26927382424
08/2003,62752.85684090255
09/2003,59272.39876753482
10/2003,64475.44368618737
11/2003,63235.930515205255
12/2003,64397.744148922604
01/2004,68001.96809806871
02/2004,70936.184980037
03/2004,72979.63596954303
04/2004,68558.25253976767
05/2004,65817.04116582402
06/2004,66343.90530918603
07/2004,65791.00041301042
08/2004,68129.84775748914
09/2004,70326.2372112088
10/2004,70148.41804530779
11/2004,73420.86857557084
12/2004,75105.07079390388
01/2005,78721.12632342674
02/2005,84190.34286685563
03/2005,80411.41208764633
04/2005,78301.09073610078
05/2005,85163.82763824097
06/2005,89835.04288783442
07/2005,96173.15183468109
08/2005,96192.35421760494
09/2005,106513.0376045548
10/2005,99698.87271996679
11/2005,110271.88195920916
12/2005,116514.04926170532
01/2006,126152.56055148425
02/2006,128596.07357537904
03/2006,127279.06008084891
04/2006,131637.55863458177
05/2006,114825.60955627817
06/2006,115965.75587393313
